koda,Zivilo,Posebnosti,Mascobe,Nasicene,Ogljikovi hidrati,Sladkorji,Beljakovine,Soli,
ZE5,"Ohrovt, kuhan",,0.11,0,4.74,0.347,1.45,0,
ZE6,Brstiüni ohrovt,,0.25,0,9.2,1.71,4.32,0,
ZE7,"Brstiüni ohrovt, kuhan",,0.14,0,7.13,1.09,3.37,0,
ZE8,"Zelje, belo",,0.06,0,4.73,3.496,1.29,0,
ZE9,"Repa, kisla",,0.04,0,5.12,0.19,0.85,0,
ZE10,"¨ebula, rjava",,0.05,0,8.27,3.514,1.18,0,
ZE11,Por,,0.17,0,8.66,3.765,2.07,0,
ZE12,"Por, kuhan",,0.15,0,6.67,1.716,1.71,0,
ZE13,"Koleraba, rumena",,0.03,0,10.3,7.17,0.97,0,
ZE14,"Koleraba, rumena, kuhana",,0.02,0,9.32,5.47,0.51,0,
ZE15,Êpinaüa,,0.17,0,3.09,0.44,2.8,0,
ZE16,"Êpinaüa, kuhana",,0.3,0,0.45,0.38,2.36,0,
ZE17,Korenje,,0.1,0,9.22,4.66,0.76,0,
ZE18,"Korenje, kuhano",,0.17,0,9.39,4.46,0.84,0,
ZE19,"Fißol, üeÁnjevec",,0.78,0,61.6,2.33,20.8,0,
ZE20,"Fißol, üeÁnjevec, kuhan",,0.41,0,24.5,0.57,8.14,0,
ZE21,"Fißol, sivüek",,1.01,0,55.4,2.79,23.5,0,
ZE22,"Fißol, sivüek, kuhan",,0.34,0,23,0.615,9.86,0,
ZE23,"Fißol, tetovec",,0.96,0,58.4,1.94,20.3,0,
ZE24,"Fißol, tetovec, kuhan",,0.4,0,23.6,0.365,8.66,0,
ZE25,Regrat,,0.31,0,5.35,0.969,3.17,0,
ZE26,¨emaß,,0.33,0,4.82,0.77,2.64,0,
ZE27,"¨ebula, mlada",,0.06,0,7.29,6,1.11,0,
ZE28,"Koleraba, nadzemna",,0.05,0,5.26,3.09,1.92,0,
ZE29,Kumare,,0.02,0,2.6,1.757,0.78,0,
ZE30,Êparglji,,0.1,0,3.22,1.384,1.72,0,
ZE31,"Êparglji, kuhani",,0.08,0,3.62,1.25,2.18,0,
ZE32,Cvetaüa,,0.09,0,5.51,2.365,2.11,0,
ZE33,"Cvetaüa, kuhana",,0.14,0,4.24,1.32,1.71,0,
ZE34,"Paprika, rumena",,0.05,0,3.44,1.717,0.82,0,
ZE35,"Krompir, kifeljüar",,0.04,0,15.3,0.71,2.16,0,
ZE36,"Krompir, kifeljüar, kuhan",,0.04,0,17.2,0,2.23,0,
ZE37,"Krompir, kifeljüar, peüen",,0.06,0,19.6,2.55,2.88,0,
ZE38,"Solata, kristalka, Noisette",,0.17,0,3.56,0.891,0.96,0,
ZE39,"Solata, endivija",,0.14,0,4.37,1.72,1.24,0,
ZE40,Rdeüa pesa,,0.03,0,10.3,7.947,1.15,0,
ZE41,"Rdeüa pesa, kuhana",,0.04,0,10.2,6.27,1.22,0,
ZE42,¨esen,,0.07,0,15.8,1.54,1.89,0,
ZE43,Grah,,0.52,0,17.8,2.17,5.94,0,
ZE44,"Grah, kuhan",,0.43,0,19.5,2.4,6.35,0,
ZE45,Paradißnik,,0.08,0,3.94,2.044,0.85,0,
ZE46,Jajüevec,,0.18,0,2.49,2.271,1.24,0,
ZE47,Stroüji fißol,,0.06,0,5.98,2.261,1.55,0,
ZE48,"Stroüji fißol, kuhan",,0.07,0,7.93,1.865,1.89,0,
ZE49,Blitva,,0.09,0,4.99,2.16,1.52,0,
ZE50,"Blitva, kuhana",,0.13,0,5.43,1.13,1.37,0,
ZE51,Buüke,,0.04,0,2.86,1.761,1.17,0,
ZE52,"Zelje, kislo",,0.08,0,5.18,0.603,1.33,0,
ZE53,"Zelje, rdeüe",,0.05,0,4.92,2.28,1.02,0,
ZE54,"Korenje, rumeno",,0.02,0,5.82,2.7,1.3,0,
ZE55,"Korenje, rumeno, kuhano",,0.04,0,7.3,2.71,1.29,0,
ZE56,Brokoli,,0.2,0,2.66,2.661,3.78,0,
ZE57,"Brokoli, kuhan",,0.2,0,2.03,2.03,2.8,0,
ZE58,"Paprika, zelena",,0.04,0,3.85,2.247,0.8,0,
ZE59,"¨ebula, Ptujska rdeüa",,0.09,0,11.4,4.93,1.54,0,
ZE60,"Namizne oljke, Istrska belica",,15,0,1.76,0,1.38,0,
ZE61,"Namizne oljke, Êtorta",,12,0,1.76,0,1.38,0,
OL1,"Ekstra deviÁko oljüno olje, meÁanica sort",,100,0,0,0,0,0,
OL2,"Ekstra deviÁko oljüno olje, ¨rnica",,100,0,0,0,0,0,
OL3,"Ekstra deviÁko oljüno olje, BriÁka ürnica",,100,0,0,0,0,0,
OL4,"Ekstra deviÁko oljüno olje, Buga",,100,0,0,0,0,0,
OL5,"Ekstra deviÁko oljüno olje, Istrska belica",,100,0,0,0,0,0,
OL6,"Ekstra deviÁko oljüno olje, Komuna",,100,0,0,0,0,0,
OL7,"Ekstra deviÁko oljüno olje, Leccino",,100,0,0,0,0,0,
OL8,"Ekstra deviÁko oljüno olje, Mata",,100,0,0,0,0,0,
OL9,"Ekstra deviÁko oljüno olje, Êtorta",,100,0,0,0,0,0,
OL10,"Ekstra deviÁko oljüno olje, Zmartel",,100,0,0,0,0,0,
OL11,"Ekstra deviÁko oljüno olje, ¶ißula",,100,0,0,0,0,0,
OL12,Buüno olje,,100,0,0,0,0,0,
OL13,"Buünice, golice",,43.6,0,0,0,38.2,0,
OL14,"Buünice, belice",,36.6,0,0,0,34.7,0,
IZ1,"JuÁni rezanci, ajdovi",,3.45,0,71.4,0,12.3,0,
IZ2,"JuÁni rezanci, ajdovi, kuhani",,0.83,0,20.5,0,3.57,0,
